contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,169000300002,GOURMET SPICY #6,MAX PAIN AND FRENS,ipfs://QmaZ3fhuCQZDEwj9eQ1YFgWDr5RzDqzW4VnEdyF3mY9veP,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #7,MAX PAIN AND FRENS,ipfs://QmevxhJfxEz6iSHQkY5dHmk6NUfrH2Fi1PdkizMBjsFoEQ,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #8,MAX PAIN AND FRENS,ipfs://QmVeZw5aAzWub2f8GdwBjTWmxTCgXa6hNhKwk2SWCCmFva,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #9,MAX PAIN AND FRENS,ipfs://QmVN21xGXW1opj1a6SJUYwEv2BKMetx3MZT5waFcWvTkFf,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #10,MAX PAIN AND FRENS,ipfs://QmfVWQT2QniBrrCkcG5hQGnL12APPbUPwG2msNwKnQRNJ7,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #11,MAX PAIN AND FRENS,ipfs://QmYULvVEJs3ZrMCbruhjZGA39HM8W1eigY85hbkMP6rf2C,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #12,MAX PAIN AND FRENS,ipfs://QmW6m8Dkjh5HJ3V3bDD58LjXs3Cv8GXHvxPaqLTSStc5Ke,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #13,MAX PAIN AND FRENS,ipfs://QmataSQgfYTfuso7TndbQvpiEHpbt7J4UkLN6asVutf3Tf,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #14,MAX PAIN AND FRENS,ipfs://QmXJEf8LviNZRfRjQiFvMX6yvVuFw27f9UaTGTQrQ4NJW7,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #15,MAX PAIN AND FRENS,ipfs://Qmc1UB3y8ff9p1Jn5LSrmDi547i4Z1jDHu6x5BzkSehJQq,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #16,MAX PAIN AND FRENS,ipfs://QmWteAZYofeEBEcKQYeJajiNSUJpEPQzWPm8S9gcPHVzhj,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #17,MAX PAIN AND FRENS,ipfs://QmVEMvayPvA37cm5oWEX4HjAhuLRs8UC2NCT1zt6SW7ov5,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #18,MAX PAIN AND FRENS,ipfs://QmYLquxDmNjfduwaU63nMj8QTVDEGwVGFeEvC3B5CGSFSt,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #19,MAX PAIN AND FRENS,ipfs://QmYYZeHYm1hDTBGpqHMvDKexZptY4x1wQL8K7fXNbUXCeN,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
