contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,27,Grifter #027,Grifters,ipfs://QmazsJyiAuPR7m3T4haSMfhz9qwVe1PLYtGYoSMnyBi9J8,ipfs://QmPQhwVrjvsrjUfUwzFLJ5wPz5HQDQv4s3CgLRVmP91xSi,
,28,Grifter #028,Grifters,ipfs://QmSiFo5D83VPuYNQ2nxPb6DQnUg78j7o3XZXNCf37QnHm5,ipfs://QmWU2GR6sj9pjkkNQKuijQZM2iWhkKMiduHWXNcX6mGrtY,
,29,Grifter #029,Grifters,ipfs://QmTagYuHUhjcSuQFktKFvS9HkpqNALcjg9uzJepj9rSzwf,ipfs://QmQyVsyAzGe47CJSsnSpZCz6Ezvafk94DWX744CaE9EVn1,
,30,Grifter #030,Grifters,ipfs://QmdVk7yqkQqrBDafBAyjcZEmdCtbqo6rf5i8Ks38R1DsXL,ipfs://QmR3Hwbs4s8sTaabVFoCMoGL1PApxXUJEMX24D6czo9tgM,
,31,Grifter #031,Grifters,ipfs://QmRtjPtqkjSxKj5Dj7NRva1TtawdXzqT6fR9fGYCVDQFLJ,ipfs://QmaHMmE3RjgSeQTu1GR7D6oRm6dqZnA9sVJgFyQkUaqKoE,
,32,Grifter #032,Grifters,ipfs://QmegragscACj3zMSxS5DVdPhrzouP57zMefw1SMGRRfmBd,ipfs://QmbDpy2KWGSX7PvcP2VuHacenU9Hhwme4C2oKuoJ1nF9N7,
,33,Grifter #033,Grifters,ipfs://QmUC7KZzUozjFShsnGLwuQ5MFgUQaSzFSpRbsNMhohCLX9,ipfs://QmWJs2GJ2K9VH2c16A2UsnPy7xwDVo5Uki8oHPz8iw4UFg,
,34,Grifter #034,Grifters,ipfs://QmbY679YWM2tNLZYmrTWSiDLpHw2TaBiCGaa3UMa6U8Q4h,ipfs://QmcnXgwEfe3MFTQccTrD9ptKLEFrGkuGvH7gfMNhhCFDGb,
,35,Grifter #035,Grifters,ipfs://Qmf1H8BxqSFhts4aN3SYXxudhahMxTrA7RCYxAhUxMUaGS,ipfs://QmbYNgE4qP4QrWREBVLi7DKk5gkdodh64U4GpAoBrAi8oX,
,36,Grifter #036,Grifters,ipfs://QmYm8vErM1rgUhLrmyFSymNmTEVoEEqQsezVbcPyyxMefW,ipfs://QmUwKUEHHnLvVr2XdTUfCbGzu3zbSZ8pYgckn3P5yvf7Py,
,37,Grifter #037,Grifters,ipfs://QmdrJgdArXD1qUg4gHDLoF7gfT6YF82AuQG6TkjUxbk3t7,ipfs://Qmdq6YKABtyY1SGtK6qEz77ey8kypbuGQd1cRX7VCn7umW,
,38,Grifter #038,Grifters,ipfs://QmbhNUxSfjmicxRLRq8vmtwV5bhnEozyVJ55pzRZkmchRL,ipfs://QmQMZu1cTKoYjhdhQDpkdetggb1CnCKhkEmGs83M7LBdvz,
,39,Grifter #039,Grifters,ipfs://QmarEjyeJgDgHUtH1R7Sdp699QDN4LsYsg4Vbpd965tJQu,ipfs://QmP5xVZBMkXpHYh5EBr7rh26M6P6xuJzKxVvNwCKFqjVhB,
,40,Grifter #040,Grifters,ipfs://QmXfZcGTLLbgh5RWj5N839enQ8tZM6V4DfqBXz7xVxokcU,ipfs://QmUkDwtVp8Y6qH1M9JZmUyirHPmtyy3FkLNTun31CavcTu,
,41,Grifter #041,Grifters,ipfs://QmakZL2Pj5mDzPQZ1dhrcSJvDPF7DweqwardNsQLLUqbX9,ipfs://QmekYXsCpyubcBWJDymFDxE6rr1NkuG1FV81ns4Swkf4ao,
,42,Grifter #042,Grifters,ipfs://QmVcYLh5BifwFRjJseVQifZJ4hYqvrWBanrityhtroUV4A,ipfs://QmcNE6QC4m7tZftvr9aG4WD1w7U13yCJ8oYphkkHHCAYtB,
,43,Grifter #043,Grifters,ipfs://QmS8LLK4Bd2pkrw96Qa9Au8LDjdhYumAcGmckRjyBzrZh6,ipfs://QmVPWuYEWerHfXNgkZHJhWQhmvx8qGEQD6eD15fttCZywU,
,44,Grifter #044,Grifters,ipfs://QmPakH6ckGMrdgbJhBzS5K4HJjExcLfUgr9NvVp8KKTvuN,ipfs://Qmcs3ZKnrB3NiELTvc5hEDPhoW9JFkdmNt6Kn6Q3NEDcce,
,45,Grifter #045,Grifters,ipfs://QmbMwhw88jVDW1n6sdLmPkZfPZUZBq9XXXV7Mb1qW7X1mH,ipfs://QmZG6D6ZUM2Yy4bfViX5CUwXzXby8dsg4f2kduPtZMLvzd,
,46,Grifter #046,Grifters,ipfs://QmTRA3rpEGi5iz7tLLs1Z7j5NgKnNG23L8VH3ryY6unV8i,ipfs://QmYVJKC4UmNmZTLuW2sNzkiG46CQ8F1swYeMCYEnBMWD3n,
,47,Grifter #047,Grifters,ipfs://QmcVy2jetbj3Xm5HYxeWut5KGnVNpt4qjUVooZKCDJjiDT,ipfs://QmXvS2KC7KMKujvoxiaWXCnzz149y91WCHrDgi7JTCChnK,
,48,Grifter #048,Grifters,ipfs://QmVR5NtAYbbmqgx74gtN5pXqcG9XD846h51FxqnfcXHmpU,ipfs://QmeVdR8ycaZFUY8BnMM7AbYoKjrMLmuJMfqkJ6QwniX4ZV,
,49,Grifter #049,Grifters,ipfs://QmQyRk5HLhL2oJQNXdgoEWndDXAFErAVi5Mmv9SxpiwBJ5,ipfs://QmSoKWmHVPDKVxby1e3bTLqihZws3E75axPQ28zDUGtW8L,
,50,Grifter #050,Grifters,ipfs://QmSfb1iu7c9CpNjjy9e5w8T3sm73yucveg9BAc4s1cwD3h,ipfs://QmXXtqjXVjkkzqorK1VkT3kH6EMDNQAZoNqmia1ADhE938,
,51,Grifter #051,Grifters,ipfs://QmVW3oMrYi7ekeZuxe5t2im1Vdto1FQQKvaMVFPAjEAQR1,ipfs://QmXdqMqBkZrN9X8r62S6VXagN7cdjCCR1ciL2tpm4tiZBD,
,52,Grifter #052,Grifters,ipfs://QmPSTZSFMDx9Lr6ZQC6GdKrqjFU2m17xBz2qmyFKNeZxDF,ipfs://QmXXznuCzDd7KC5j2epMxnYv3D8ZjEM6jbzcqwFXPEBsiN,
,53,Grifter #053,Grifters,ipfs://QmeHA5Nb7Uz7BP5YyPmnGhefJKCGrCSYy7kh9fQeyLJmFf,ipfs://QmSjp571zeCt8WJ98KtLWuFDTChfMV9Qe9PNZf6tPFVrc3,
,54,Grifter #054,Grifters,ipfs://Qmdv4u4aY78k8qF28jcVRxTekRAqmv5roPp1BfHmofnAoa,ipfs://QmW6euWRyZZGS2S3CQH49XFuKpoYw5q71bKmhs9ysnHagW,
,55,Grifter #055,Grifters,ipfs://QmZWdF6W2TizX78epa9WjU9MyTyAqqfPsDJCEPSQVr8Ahy,ipfs://QmPcX8YeMMxJ9xAWidRtRqLQ8RxUhQUZJiFoi3eicxRn7u,
,56,Grifter #056,Grifters,ipfs://QmQoVTccMM58j8zipqBKF2b7S9eGqMrmwgSVgueMZZVZKY,ipfs://QmdEzumdB9BZJUnFkBMLh7WsYvLhMnWXQxvZRG4FkhL1xs,
,57,Grifter #057,Grifters,ipfs://QmRvSUoaisZmFTcvUY52ZySviXLT8qDq5gEqir8rM5DwZo,ipfs://QmdL3TtLsHUWCCJS4g5ahkjcnnjT74TfhBCiAuoTPHcgeW,
,58,Grifter #058,Grifters,ipfs://QmQaViGvrCwkw4RC56ie1rwgMUy5r3SnE4gJgwvmmqBTu3,ipfs://QmZHYBQawPXPHPKy5YCGU3zJiaw8c2bVH4qpR7ZHUrbvoT,
,59,Grifter #059,Grifters,ipfs://Qmf1xU4GqexWmgBm4xqYpSyMbkk3TH9zwdppEEXocv2s4G,ipfs://QmW42oNuDJeJheTW21BTkzgzpcsB8r5hY5F53Z4gcMbhwo,
,60,Grifter #060,Grifters,ipfs://QmNhTRemZanGHFdRMAo7MHcvk6bK4dH1CyPY2AzGGjdPg6,ipfs://QmXve6UkcES4yp9v5FURs7VJLdw2y72sbeBqB3d7vWfpHj,
,61,Grifter #061,Grifters,ipfs://QmPtQEG3mif22sfHm62NedaxF68oZMikWMoUooiu7eCtWp,ipfs://QmUSUK1MFdKtTNLPYGyppF9wUmBhagCjPLaVJnF2gNtPQF,
,62,Grifter #062,Grifters,ipfs://QmVgVnVS4GRRPV722dXn1JBc4RGnCU5ovAdDXeAngpzoRG,ipfs://QmdF9n1NJ7JBdLY8KM9vU597QUBon97yHZdMtePD16FZGF,
,63,Grifter #063,Grifters,ipfs://QmRg6yFXP4GSTZSpUBAL4tNyYHTBaYLM5Tfr6TQSBdxLWR,ipfs://QmW17kAQG2yEGzx7i5nAGEv4xeB7XyuGY7uo9tmrzuvAjj,
,64,Grifter #064,Grifters,ipfs://QmcYsWWh2Xw1RPe7fXqaSPqJz3AqoP3ieLe3pmQFNLGY3A,ipfs://QmVAa7cjaJYyv3StNsRe2eLYipB7i1i3mTu8zAt4Se6Ws4,
,65,Grifter #065,Grifters,ipfs://QmfAvroE9sHNzCsnuQxTLa57BNwLXV2Fxw8SwnXaXSyHZE,ipfs://QmeRkuJrJLk2WxjGRVviuMRBdDhPXHTEvpdXe9expd8Z8A,
,66,Grifter #066,Grifters,ipfs://QmNPaRmoEkQy1upSVFytyzzSRP2zkUwsLMdAf3pKSuUPkD,ipfs://QmTm1FxmPyDXyWzGhj2xPSAkRue7vVpjP3V6naUDrK342H,
,67,Grifter #067,Grifters,ipfs://QmYydS2YHCU9fCz7ZZFW5299Dbn5N5qtyjGqqMWFQBsRxx,ipfs://QmdRJpDm4oAfRdkKdfJgsComjNCCCXd9cihQ3ccEwWQna7,
,68,Grifter #068,Grifters,ipfs://QmcxWQa1Xse26QCeuzjas2JvvrfNsn4LLeJpuCimWRQ6Ym,ipfs://QmVK6AiHgWJhCAd4J5TMxQ5cf8RqziHhnab5ZQK1EqWfoy,
,69,Grifter #069,Grifters,ipfs://QmSuooDB4U2tN5eM2rVeQgEMQWCVbXFDCJ3QS2CoqMP492,ipfs://QmTKjtPs2o3eEUChVdW1fKrBMVukLFh76tz5pNMmKUDRRg,
,70,Grifter #070,Grifters,ipfs://QmaZ8Wa2qktYmmgKv14TGmxmk4uKk56mQZffUA31sx5mDu,ipfs://QmRE8CcMfk2PoKBc42f5uL9pQXHJuPWYCqTWDUtopfy6Td,
,71,Grifter #071,Grifters,ipfs://Qmcb3KTQ8T7BbPySHNdDT2GAHTsDwwrtqH7DnDB9xTQi7A,ipfs://QmTNEG9oEcoBtTwn6Msditog7VZnCGgnvxwoU3qpF5DYnG,
,72,Grifter #072,Grifters,ipfs://QmQPBCJj7a58YofRNjtm3m92VCjAvbs4Zn4PEWu3oF94Xm,ipfs://QmfSbTcuhDCodz2rXZoCTiPwM5s1hJ88D2CV2Vj9r2EVZL,
,73,Grifter #073,Grifters,ipfs://QmSt7ZNfs4FF1M5C1Rbe15TJjfYGvM1b32GL4qWeFozev8,ipfs://QmPqzkHiadVEjCZJrV7R5XJD2gtzTXTjZ1MqcXwhu7NNpS,
,74,Grifter #074,Grifters,ipfs://QmUvqom31AUp6oVY7dT73ieKCjqRYXauTNGJqotU8MXGuP,ipfs://QmUMvUUn8cuYiqwmqGGWnxEnK968fXwgvZo6drX9JBXxmE,
,75,Grifter #075,Grifters,ipfs://QmUhh8GthpFgftUNLtSCcGVCA72BuU2KBSKHUhvMhDQWZY,ipfs://QmRvXSWd2T8Wno2Ca7ZLwPvZrrEh7oCdyg6V7h4xqExqgW,
,76,Grifter #076,Grifters,ipfs://QmZzrrqoKAjshxQJ7BsvwZtCoa93uekcXLkqaeJzTYu8Bh,ipfs://QmeLbLLGjgPJrpcoYHWwNe4Wv7zbXfyakqQc7kbCynVtAZ,
,77,Grifter #077,Grifters,ipfs://QmZsPXNMZkdiLpKkp696H7jn3HCKVkLExsM1xn5WdE26Qy,ipfs://Qmc8V63q7Ao5DfDFbsC36o5NCPUksMaATvgvYvcaDix2f8,
,78,Grifter #078,Grifters,ipfs://QmRCdDudEWTW5iJWw5GwTSXmdyDPnW7C2TA2Vr7TJLnTgA,ipfs://QmbFLBXRyHwaEVCjbvcqZAx5Loi94rPjFTmrkwkiGou4WQ,
,79,Grifter #079,Grifters,ipfs://QmXp9SzkXahG9GRczV64spXHAJA1Qm7hd7DPMU9V8W2BN9,ipfs://Qma6UCtTMBoqfqxCxqjUXLRjLpLWFe2xTsfBgYkvLj7zqa,
,80,Grifter #080,Grifters,ipfs://QmQJygkdtpjWd4WYzbkAEpdpeiZavKwXQ16NEqQpQRdtLE,ipfs://QmQQEY5fSDeSsUBvU4pdMchGcuF958Mn3vWzvTYaveyqtY,
,81,Grifter #081,Grifters,ipfs://QmebX1pvxqxtTmGnhWEhXZcFK77vRpqLPu39C3xrrhaevn,ipfs://QmVGGQHrWYFyNR8ceJdzjroXS23J4CdYJLQFeCNrMZU9TY,
,82,Grifter #082,Grifters,ipfs://QmREEKEyHSPNWq8XJmgP55ENu9189FzXJGBZtdqBZLTJw1,ipfs://QmeqaqUA7LM8ixFqDmPKcEnZPi93RYoeMFnwgTHg1mJuyw,
